Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Coastal protection,Cooling Degree Days,Heat Index 35,Heating Degree Days,Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Population density (people per sq. km of land area),Proportion of bodies of water with good ambient water quality,Standardised Precipitation-Evapotranspiration Index,Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),"Mammal species, threatened",Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Croatia,2018,20.0014,17.7661,4.454,-5.6561,4.1733,2.4246,25.7117,6.446,10.6522,54.123,3.08,2127.6388,0.0,72.374,32.8,65.07,858.62,0.0,4225.78,17.9069,1.4867,71.2739,,-0.7839,26.517,2.9509,102.04,0.5981,0.1982,1.7738,34.5599,9.0,23.6,8285.3402
Croatia,2019,15.9149,17.9722,4.5506,-5.8919,4.1524,2.4239,26.0109,6.5861,12.8448,57.7963,3.01,2173.1984,0.0,66.2484,31.6,65.07,847.82,0.0,4153.09,18.2185,1.494,70.5702,,0.2339,26.8744,2.8569,99.35,0.4629,0.18,1.7825,34.6046,,23.6,5977.6268
Croatia,2020,16.1209,17.1915,4.3921,-5.8773,4.1319,2.5436,25.435,6.4981,9.0773,54.1708,3.16,2104.8453,0.0,64.9877,32.4,65.07,691.57,0.0,4244.77,18.1568,1.4629,69.9465,93.33,-0.6525,26.8942,3.1286,108.55,0.3057,0.1746,1.7454,34.6517,,23.9,6051.7226
Czechia,2012,19.2883,114.029,10.8488,-9.2699,14.7473,6.4991,138.2693,13.155,53.2693,25.4296,5.09,4109.5446,76.159,10.0615,12.8,,271.87,0.0,6649.05,13.3433,27.9866,136.0972,,-0.8678,45.6544,2.2316,85.84,0.1838,0.0155,13.9954,34.4657,,,14006.6854
Czechia,2013,18.9336,109.5328,10.4175,-8.5876,14.3306,6.8011,133.7778,12.7234,50.2928,27.7106,5.09,4110.9917,74.9101,11.7516,13.9,,254.49,0.0,6856.17,14.0626,25.0958,136.16,,0.2334,45.597,2.3476,93.01,0.1094,0.0187,12.5498,34.4987,,21.9,7658.9912
Czechia,2014,18.3617,107.2391,10.1887,-8.4771,14.2124,7.1718,131.9113,12.5327,50.5305,30.2869,4.83,3984.1541,73.974,11.867,14.8,,194.17,0.0,5812.35,15.5623,25.0912,136.3034,,-0.1962,45.5322,2.3927,101.46,0.0966,0.0206,12.5475,34.5272,,21.8,13942.7428
Czechia,2015,17.8128,108.2916,10.2684,-8.5334,14.2667,7.4341,133.526,12.6612,52.2541,32.1173,4.59,3982.1884,75.3495,12.7512,14.8,,432.52,0.0,6083.82,15.406,24.3826,136.5893,,-1.9117,45.2532,2.2589,97.07,0.0818,0.0286,12.1932,34.5602,,21.7,8047.2074
Czechia,2016,16.9929,109.8148,10.3929,-7.6496,14.2086,6.9121,134.6853,12.7466,53.5848,32.8779,4.43,3927.7252,0.0,12.7075,14.8,,211.42,0.0,6394.56,14.8116,24.8601,136.8519,,-0.1921,45.1755,2.1481,101.47,0.0898,0.0422,12.4319,34.5791,,22.1,22813.3622
Czechia,2017,16.9433,110.3808,10.4187,-6.2332,14.1879,6.9515,135.4786,12.7877,50.456,37.288,4.39,4089.5134,0.0,12.4026,14.5,,261.77,0.0,6485.07,14.0932,24.7871,137.2159,24.22,-0.581,45.6029,2.1055,94.94,0.1239,0.0681,12.3954,34.6025,,22.2,26518.1156
Czechia,2018,17.3467,109.3448,10.2865,-1.2856,13.8771,6.6338,133.859,12.5927,49.4906,37.0867,4.26,4081.4187,0.0,11.9061,14.7,,391.78,0.0,5898.96,16.1882,24.1788,137.6755,,-2.1456,45.6288,1.9686,92.9,0.1767,0.1182,12.0913,34.626,3.0,22.2,39194.8738
Czechia,2019,14.2337,103.7793,9.7246,4.7443,13.9279,6.4586,128.1939,12.0123,45.3254,41.0173,4.07,4002.2461,0.0,12.9178,15.9,,356.25,0.0,5914.11,15.3443,22.9015,138.2268,,-1.5681,45.64,1.8915,92.92,0.2238,0.1841,11.4525,34.6514,,22.2,73288.6802
Czechia,2020,14.1111,94.8596,8.8672,7.4412,13.4838,5.9627,118.2477,11.0534,40.0937,38.785,4.06,3764.4716,0.0,14.3377,17.0,,193.88,0.0,6046.17,14.5617,20.7725,138.5759,20.5,-0.8997,45.6469,1.944,96.91,0.2462,0.2224,10.3878,34.678,,22.2,100267.3712
Denmark,2012,10.8115,38.5966,6.9026,0.548,8.7554,4.694,52.9598,9.4714,34.329,-3.473,2.5,3072.0872,71.312,48.3304,26.9,61.92,27.3,0.0,6535.71,10.6877,19.6998,139.7893,,0.3584,65.6,1.6176,98.74,1.2652,0.0063,12.1417,15.0442,,,4451.9524
Denmark,2013,10.3963,40.3352,7.1836,0.1729,8.7129,4.6272,54.5542,9.7159,41.1375,13.3346,2.49,3075.5514,71.3967,45.9609,27.0,61.92,45.14,0.0,6487.93,11.8437,27.285,140.3733,,-0.9572,65.7,1.2566,97.3,0.9549,0.0089,16.8167,15.2351,,17.6,2015.3666
Denmark,2014,10.8105,36.1972,6.414,0.4805,8.6542,4.7057,50.385,8.928,34.3773,13.4604,2.31,2881.0525,67.5053,55.8777,30.2,61.92,123.46,0.0,5478.51,13.719,26.7496,141.0869,,-0.1013,66.3158,1.3534,99.93,0.7977,0.0106,16.4867,15.426,,20.5,5320.7705
Denmark,2015,10.2267,34.0712,5.9948,-0.4672,8.7353,4.7785,48.2385,8.4875,24.5646,14.4191,2.25,2847.9879,64.2119,65.4356,32.5,61.92,27.48,0.0,5936.09,12.0938,21.9524,142.0871,,0.8855,65.8475,0.9083,101.24,0.4393,0.011,13.53,15.617,,20.5,2583.2304
Denmark,2016,9.2343,35.6784,6.2288,0.4141,8.7873,4.818,49.984,8.7262,29.0294,14.9737,2.23,2891.0269,0.0,60.2201,32.0,61.92,63.82,0.0,6032.02,12.3436,23.9858,143.2002,,-0.8799,65.6275,0.9288,98.83,0.2875,0.0083,14.7832,15.6165,,17.9,4656.3405
Denmark,2017,10.0946,33.5457,5.8189,0.2731,8.7547,4.8198,47.703,8.2746,20.0019,12.4713,2.18,2896.5707,0.0,70.266,35.0,61.92,4.22,0.0,6017.76,11.4687,24.2239,144.1245,37.56,2.0049,65.7825,1.2599,102.11,0.3958,0.0072,14.93,15.64,,20.7,4360.354
Denmark,2018,10.3539,33.5379,5.7887,2.0733,8.7584,4.7264,47.6681,8.2277,21.6339,25.1646,2.13,2870.4163,0.0,68.3574,34.6,61.92,164.33,0.0,5800.29,13.9692,29.9031,144.8409,,-2.1774,65.8125,0.997,92.87,0.477,0.008,18.4303,15.664,2.0,17.9,3161.6253
Denmark,2019,9.612,30.0794,5.1732,1.0592,8.642,4.8132,44.0304,7.5726,11.2176,43.7676,2.03,2757.2499,0.0,78.1718,37.2,61.92,83.41,0.0,5738.86,12.5936,25.5704,145.3606,,0.4938,65.6491,1.2412,100.59,0.3518,0.0063,15.7599,15.6875,,17.7,9180.3336
Denmark,2020,9.0698,27.7879,4.7652,0.8057,8.6918,4.9239,41.8742,7.1808,10.6551,48.3343,1.99,2637.043,0.0,81.6168,39.5,61.92,90.86,0.0,5513.46,13.0938,25.6159,145.7851,38.3,-1.1133,65.4997,1.3375,102.64,0.1136,0.0053,15.788,15.711,,17.9,3193.5935
Estonia,2012,7.9901,21.2301,16.0506,-1.9973,2.7955,1.63,25.853,19.5457,86.1202,22.4673,5.74,3984.0634,20.4941,12.3417,25.0,62.83,57.72,0.0,8605.65,6.2191,17.6515,31.203,,2.038,22.5501,3.2843,89.2,0.8242,0.0,12.8324,55.9098,,,17685.1527
Estonia,2013,8.0812,23.6366,17.9337,-0.901,2.8757,1.6796,28.4031,21.5502,88.693,15.8496,6.27,4435.5669,17.9265,9.1973,24.5,62.83,117.84,0.0,7774.46,8.781,18.9177,30.3197,,-0.7051,22.1992,3.0474,92.45,0.7317,0.0,13.753,54.9118,,19.4,17088.7434
Estonia,2014,8.7077,22.7514,17.3074,-0.2133,2.9628,1.6963,27.6318,21.02,87.3534,12.4657,5.79,4226.2012,15.7466,11.1825,25.3,62.83,218.88,0.0,7734.58,9.1568,18.6147,30.2403,,-0.4325,22.4063,3.115,97.32,0.7859,0.0,13.5327,55.3028,,19.4,23576.6088
Estonia,2015,7.185,21.0222,15.9815,0.361,2.9101,1.7517,25.9106,19.6978,82.7651,12.0087,4.97,3695.1192,14.7459,15.4272,28.2,62.83,39.6,0.0,7193.32,9.7801,17.4821,30.2601,,-0.9746,22.8433,2.8064,111.23,0.4655,0.0,12.7092,55.6938,,19.4,25420.2907
Estonia,2016,6.8784,20.5878,15.6467,1.2973,2.7981,1.6773,25.299,19.2272,83.7209,8.5862,5.98,4579.4211,0.0,13.047,27.2,62.83,70.36,0.0,7883.36,8.6565,18.9545,30.2689,,0.6924,23.0734,2.0716,91.45,0.3148,0.0,13.7797,55.6993,,19.5,36334.8572
Estonia,2017,6.1549,21.9647,16.673,1.2094,2.872,1.7091,26.7821,20.3298,83.8526,4.8111,5.49,4444.8467,0.0,14.1225,27.5,62.83,14.41,0.0,7869.96,8.5938,19.3171,30.816,100.0,1.727,22.9708,2.3389,99.56,0.5195,0.0,14.0433,57.0386,,19.5,38856.6937
Estonia,2018,7.7967,23.6488,17.889,2.9541,2.9373,1.7217,28.5447,21.5924,81.988,1.4647,5.21,4282.7151,0.0,16.0854,28.6,62.83,243.6,0.0,7617.02,9.9688,17.4084,30.9234,,-1.7811,23.0409,2.0494,84.71,0.7988,0.0,12.6557,57.0386,1.0,19.5,40037.8772
Estonia,2019,6.8448,15.4629,11.6534,2.7782,2.3965,1.7851,19.8753,14.9788,70.151,5.1177,4.22,3661.4993,0.0,28.1355,31.3,62.83,103.04,0.0,7275.11,9.8443,10.8923,31.0385,,0.2045,23.1205,2.2656,106.79,0.7336,0.0,7.9186,57.0386,,19.7,45917.2458
Estonia,2020,6.1457,12.1329,9.1258,0.7951,1.883,1.8069,16.0162,12.0466,49.1115,11.4816,3.92,3368.2373,0.0,48.8761,40.4,62.83,85.51,0.0,6717.25,10.0621,9.2311,31.0999,75.65,-0.1461,23.0409,1.9318,107.74,0.3748,0.0,6.7109,57.0386,,20.1,36805.569
Finland,2012,6.2312,52.3267,9.6651,-25.3717,7.9135,7.076,68.6419,12.6787,16.0074,47.4849,5.71,6265.7723,43.102,40.5621,38.7,62.71,14.61,0.0,10723.33,1.3122,9.4968,17.8156,,2.1152,7.5195,2.1884,94.73,0.1695,0.0,3.7428,73.4108,,,160310.4093
Finland,2013,5.8529,53.3313,9.8054,-18.5726,7.8345,7.086,69.564,12.7899,20.1678,50.0732,5.67,6138.3141,42.4733,35.968,38.5,62.71,56.36,0.0,9637.64,4.3134,8.4861,17.8978,,-0.5947,7.432,2.2118,99.5,0.1097,0.0,3.3445,73.5207,,13.9,148660.9706
Finland,2014,6.1186,49.4416,9.0527,-19.3948,7.7142,7.1253,65.5626,12.0045,17.3554,50.2608,5.81,6246.0415,41.9618,38.5804,41.2,62.71,143.39,0.0,9613.09,4.4374,7.4755,17.972,,-0.4294,7.4603,2.2176,101.04,0.089,0.0,2.9462,73.6306,,14.2,186629.0141
Finland,2015,5.625,45.9758,8.3905,-14.1892,7.5638,7.0334,61.7912,11.2767,12.8092,48.5425,5.5,5921.5968,40.2291,44.5012,43.2,62.71,6.19,0.0,9298.22,4.4383,6.4648,18.0301,,1.2093,7.4805,2.0605,99.53,0.0503,0.0,2.5479,73.7356,,14.2,172639.5803
Finland,2016,5.2781,48.8071,8.8816,-9.5057,7.517,7.1223,64.6074,11.7568,15.2843,46.6828,5.54,6120.633,0.0,44.2315,42.4,62.71,22.77,0.0,9827.94,3.9376,5.4541,18.082,,1.1139,7.4858,2.0898,99.43,0.0276,0.0,2.1495,73.7356,,14.3,240428.4632
Finland,2017,5.1267,46.0759,8.3649,-5.9387,7.3287,7.049,61.5473,11.1737,13.6457,45.2672,5.34,6070.1575,0.0,46.614,44.4,62.71,1.71,0.0,10127.52,2.1876,5.4541,18.1239,60.59,1.2527,7.4691,2.068,98.01,0.0795,0.0,2.1495,73.7332,,14.1,336198.5406
Finland,2018,5.497,47.4392,8.601,4.3632,7.2461,7.249,62.9803,11.4187,14.3304,46.7658,5.37,6165.444,0.0,45.741,44.2,62.71,168.92,0.0,9799.61,3.9383,6.6398,18.148,,-1.5896,7.4757,2.1142,92.96,0.0884,0.0,2.6168,73.7332,2.0,14.2,269954.6259
Finland,2019,5.3787,44.1412,7.9943,0.5307,7.172,7.291,59.607,10.7952,11.6038,44.4037,5.19,6024.6537,0.0,46.4434,45.4,62.71,59.43,0.0,10029.18,3.0628,7.1141,18.1674,,1.0067,7.482,2.1898,102.16,0.0424,0.0,2.8037,73.7308,,13.1,289910.434
Finland,2020,4.8952,39.474,7.1387,-0.9844,6.9319,7.0017,54.3465,9.8284,7.4783,43.8669,5.07,5739.2545,0.0,51.8681,47.3,62.71,47.6,0.0,9001.12,4.8137,7.1141,18.1929,57.18,0.742,7.4686,2.2404,98.51,0.0242,0.0,2.8037,73.7284,,13.0,254472.6003
France,2012,12.5586,365.0236,5.5595,-46.3395,76.2243,35.9305,495.3533,7.5445,4.2105,49.9192,3.83,3929.206,47.8592,15.7357,12.3,97.99,323.99,0.0,4928.8,16.3736,24.5671,121.8251,,-0.168,53.5204,1.5259,97.79,0.0118,0.0,14.0315,30.7743,,,67302.6687
France,2013,12.4583,360.1587,5.4571,-52.1844,75.6428,36.1793,490.0011,7.4245,4.5213,49.7187,3.82,3925.8655,47.4024,17.9491,13.4,97.99,343.07,0.0,5213.27,16.625,23.774,122.4565,,0.5481,53.3884,1.3614,96.25,0.0093,0.0,13.5785,30.929,,23.5,30351.842
France,2014,10.6877,326.9509,4.9305,-44.6721,74.7255,36.2786,455.8541,6.8744,2.4141,47.8596,3.63,3755.8324,45.0352,17.4241,13.2,97.99,254.23,0.0,4253.59,17.6249,23.8965,123.0394,,0.0537,53.3751,1.4615,102.48,0.007,0.0,13.6485,31.0838,,23.4,44359.1132
France,2015,11.3443,332.1533,4.9912,-41.5099,75.0006,36.6846,461.6707,6.9374,2.5101,47.584,3.65,3799.1926,45.1766,16.6913,13.3,97.99,431.63,0.0,4537.35,17.8757,24.6135,123.4776,,-1.6831,53.3016,1.5036,102.22,0.0039,0.0,14.058,31.2385,,23.2,37292.5856
France,2016,10.5082,334.7732,5.0173,-37.6674,74.8232,35.7667,462.9622,6.9385,2.1693,49.1471,3.54,3718.1705,0.0,18.3955,14.2,97.81,367.29,0.0,4833.43,17.3743,23.1428,123.8039,,-0.7236,53.2851,1.338,95.29,0.003,0.0,13.218,31.3933,,25.9,60768.5202
France,2017,10.4583,338.709,5.0616,-29.8464,73.9145,36.2148,465.7704,6.9603,2.702,50.6501,3.46,3705.4111,0.0,17.3814,14.1,98.34,439.05,0.0,4726.2,17.6254,23.5892,124.1637,83.53,-1.3891,53.2471,1.435,101.33,0.004,0.0,13.473,31.548,,27.8,69249.0433
France,2018,10.4599,328.5501,4.8922,-39.8144,73.1468,35.2711,452.3491,6.7356,1.8106,48.7406,3.37,3669.3707,0.0,20.4355,15.2,98.34,508.3,0.0,4383.58,18.8742,23.569,124.6096,,-0.8703,53.1777,1.5311,97.17,0.0068,0.0,13.4615,31.7028,9.0,33.2,69201.6634
France,2019,9.8252,322.9043,4.7921,-36.5979,72.3377,35.1911,443.9014,6.5878,1.0276,49.7065,3.26,3605.5319,0.0,20.6287,15.5,98.52,495.78,0.0,4549.42,18.3746,22.9468,125.0247,,-1.0763,52.9156,1.4083,98.0,0.0054,0.0,13.106,31.8575,,35.0,81304.4477
France,2020,9.6004,287.0868,4.2468,-39.2143,71.0009,31.4162,401.5864,5.9405,0.9276,45.791,3.18,3228.4892,0.0,24.3566,16.8,98.34,456.99,0.0,4213.67,18.6246,21.5981,125.4311,78.93,-1.0459,52.7297,1.4604,93.7,0.0256,0.023,12.3358,32.0122,,36.2,77745.7371
Germany,2012,13.9079,800.0321,9.9475,-5.8578,69.8455,37.06,921.4354,11.457,45.5366,63.4092,3.27,3913.4392,79.8734,23.7361,13.6,62.19,180.5,0.0,6144.44,13.1866,46.1172,230.7506,,-0.4612,47.8109,0.9114,96.12,0.0789,0.0,31.4459,32.7452,,,26007.2481
Germany,2013,13.6634,817.8158,10.1409,-8.4696,68.4676,37.7376,938.5372,11.6378,46.8153,64.6342,3.32,3986.1851,80.1392,24.757,13.6,62.19,218.66,0.0,6417.75,14.1868,34.7122,231.1557,,-0.2185,47.8589,0.9271,97.08,0.0598,0.0,23.6692,32.719,,38.9,15498.9546
Germany,2014,12.2822,778.7527,9.6163,2.3407,67.3054,38.4483,899.2232,11.1039,45.3819,64.0352,3.11,3794.4472,79.3957,26.8209,14.0,62.19,178.83,0.0,5328.41,15.1878,42.9113,232.1081,,-0.8022,47.9364,0.9156,102.97,0.0398,0.0,29.2599,32.7228,,38.5,21169.1432
Germany,2015,12.8254,784.9143,9.6088,-2.4594,66.6234,37.6423,904.2443,11.0697,43.7615,64.4354,3.08,3780.8503,79.628,30.0329,14.6,62.19,298.52,0.0,5687.9,14.8117,40.8901,234.153,,-1.3409,47.9591,0.7085,99.27,0.0273,0.0,27.8817,32.7323,,38.5,12929.494
Germany,2016,11.7807,789.2489,9.5842,1.1037,65.4771,36.9322,906.921,11.0132,42.0011,66.3065,3.02,3765.218,0.0,30.0193,14.2,62.19,222.83,0.0,5917.32,14.5624,33.5019,235.7129,,-0.7121,47.6843,0.7305,97.76,0.0185,0.0,22.8439,32.6855,,38.8,26876.854
Germany,2017,11.8978,774.4767,9.3698,-5.1206,64.8481,35.7903,890.4565,10.7729,38.6743,66.6212,2.95,3763.194,0.0,34.0095,15.2,62.19,197.22,0.0,5838.42,14.1873,38.0324,236.5887,73.26,0.358,47.7631,0.86,97.5,0.0236,0.0,25.9331,32.6845,,38.8,32999.1381
Germany,2018,11.6526,746.6974,9.0066,75.8745,63.3601,34.7802,859.3059,10.3648,37.3124,66.2019,2.85,3659.2292,0.0,35.6372,16.0,62.19,400.93,0.0,5428.24,16.6872,36.8985,237.294,,-2.2459,47.6415,0.7425,91.87,0.0279,0.0,25.1599,32.6836,5.0,38.8,52238.958
Germany,2019,10.6378,696.5002,8.3822,64.3793,61.1892,34.5771,806.0433,9.7005,29.9558,69.924,2.76,3570.8816,0.0,40.5775,17.1,62.19,324.37,0.0,5507.27,15.5623,35.3517,237.823,,-1.4329,47.7003,0.8331,94.41,0.0477,0.0,24.1052,32.6827,,38.5,108232.9097
Germany,2020,10.2877,642.0878,7.721,69.0941,59.1435,33.5019,747.0268,8.9829,24.9711,65.3856,2.69,3349.1993,0.0,44.8396,18.5,62.19,239.1,0.0,5368.72,15.8124,35.3517,238.0173,75.81,-1.5461,47.4971,0.7287,95.45,0.0397,0.0,24.1052,32.6827,,38.8,186938.8613
Greece,2012,18.8095,81.555,7.3839,-3.6263,12.6158,4.0964,103.4296,9.3644,51.0491,73.0863,3.57,2408.7558,89.9414,16.9602,14.2,91.88,1488.67,0.01,3416.27,22.4362,20.0991,85.6867,,-0.8739,56.5012,3.4191,103.29,0.1014,0.0107,17.1293,30.27,,,13242.1437
Greece,2013,17.9601,73.8775,6.7374,-2.5903,12.2304,4.0929,95.8496,8.7412,46.2031,69.139,3.22,2133.1284,87.7901,25.1734,16.6,91.88,1249.24,0.0,3030.28,22.1882,20.0789,85.0676,,-1.0485,55.4926,3.3515,93.64,0.0708,0.0126,17.1121,30.27,,8.6,5906.556
Greece,2014,16.8699,71.0085,6.5191,-2.0318,12.155,4.0543,93.0221,8.5401,51.0084,72.9934,3.17,2128.7923,85.8515,24.3841,16.4,91.88,1112.37,0.0,2959.26,21.8124,20.0607,84.5028,,1.7323,48.1071,3.5335,97.19,0.0615,0.0127,17.0966,30.27,,8.6,3803.2117
Greece,2015,17.2372,69.4522,6.4183,-3.4983,12.0573,4.0351,91.4404,8.4504,42.6167,79.0744,3.19,2148.0471,83.8826,28.7273,17.5,91.88,1218.22,0.0,3258.46,21.5626,20.0445,83.9479,,-0.0315,48.0915,3.8215,103.65,0.037,0.0124,17.0828,30.27,,8.6,3840.1217
Greece,2016,15.775,68.1612,6.3253,-4.1013,11.6714,3.9962,89.9567,8.3479,34.6872,81.383,3.13,2109.4166,0.0,27.3987,16.4,91.88,1240.56,0.0,3095.69,21.9366,20.5058,83.5995,,-0.8888,47.6028,3.4581,99.16,0.0518,0.0125,17.4759,30.27,,8.6,6034.1999
Greece,2017,15.6724,68.3839,6.3585,-3.8368,11.9723,3.9795,90.4258,8.408,33.954,81.8523,3.15,2148.0516,0.0,25.1118,16.4,91.88,1242.97,0.0,3290.42,22.063,20.5017,83.4343,17.28,-0.7163,46.9631,3.7523,99.76,0.0592,0.0142,17.4724,30.27,,8.6,8909.1977
Greece,2018,15.584,66.5357,6.1992,-4.6801,11.6946,3.8424,87.9204,8.1917,32.265,82.0229,3.01,2089.3604,0.0,30.3497,17.9,91.88,1234.39,0.0,2889.65,21.9377,20.4774,83.2652,,-0.3455,46.1109,3.5257,98.37,0.0759,0.0132,17.4517,30.27,10.0,11.0,7122.6687
Greece,2019,14.9419,61.4927,5.7354,-5.188,11.3774,3.8054,82.0806,7.6556,24.9311,87.499,2.91,2058.5434,0.0,33.2085,18.5,91.88,1317.47,0.0,3006.17,22.063,20.4633,83.1775,,0.431,45.4893,3.6615,100.63,0.0501,0.0096,17.4397,30.27,,11.0,7604.9472
Greece,2020,14.4089,52.3606,4.8942,-5.1826,11.1187,3.7119,72.2833,6.7563,13.6888,91.2123,2.85,1839.4882,0.0,36.5812,20.1,91.88,1261.32,0.0,3071.31,22.186,20.4774,82.9992,16.89,-1.3513,43.6358,3.9238,101.91,0.0275,0.0091,17.4517,30.27,,11.0,5427.8254
