Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heat Index 35,Heating Degree Days,Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Population density (people per sq. km of land area),Standardised Precipitation-Evapotranspiration Index,Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Switzerland,2014,10.6156,40.9097,4.9959,-0.2223,5.4448,1.9348,49.9621,6.1014,0.0,53.9311,1.88,3026.6243,49.28,59.0078,22.2,42.89,0.0,7955.81,12.186,6.4989,207.2508,-0.1713,38.5028,0.7089,102.58,0.0026,0.0024,4.2178,31.5982,9.7,1502.5471
Switzerland,2015,11.7226,40.233,4.8577,-2.0158,5.4948,1.8971,49.3178,5.9545,0.0,56.0893,1.81,2923.0001,50.85,63.1394,23.9,177.92,0.0,7959.72,12.6859,6.5062,209.6266,-1.6811,38.4206,0.6264,99.43,0.0019,0.0018,4.2226,31.6857,9.7,772.4588
Switzerland,2016,10.6566,40.7897,4.8714,-2.0462,5.5355,1.8925,49.81,5.9486,0.0,59.7487,1.72,2814.4113,50.32,63.1348,24.1,90.49,0.0,8251.01,12.4379,6.4989,211.9316,0.1974,38.3387,0.658,97.98,0.0017,0.0016,4.2178,31.7733,9.7,1679.0417
Switzerland,2017,9.9148,39.8069,4.7099,-1.7487,5.5699,1.9445,48.8921,5.7848,0.0,60.1725,1.71,2803.658,50.57,64.5196,25.0,137.11,0.0,8273.48,12.0614,6.4989,213.9185,-0.5915,38.2599,0.6313,97.74,0.0016,0.0015,4.2178,31.8603,9.7,2542.4132
Switzerland,2018,10.1482,38.5013,4.5219,-1.1494,5.6096,1.9395,47.5976,5.5903,0.0,53.6346,1.67,2800.0752,47.49,60.3342,24.2,140.63,0.0,7673.01,12.6894,6.4989,215.5001,-1.6596,38.1824,0.6438,101.65,0.0033,0.0031,4.2178,31.9474,9.7,3134.4396
Switzerland,2019,9.45,38.3792,4.4756,-1.8278,5.5984,1.9433,47.4035,5.5279,0.0,54.9926,1.69,2850.8885,47.91,61.4674,24.8,148.0,0.0,8042.24,11.9369,6.4989,217.0428,-0.6647,38.105,0.6477,97.32,0.0015,0.0012,4.2178,32.0345,10.0,3518.0207
Switzerland,2020,9.061,35.8868,4.1544,-1.4881,5.6383,2.0136,44.9823,5.2074,0.0,50.0265,1.65,2687.91,47.41,63.8592,26.4,96.64,0.0,7807.27,12.937,6.4989,218.6345,-1.3075,38.0271,0.7055,99.14,0.0015,0.0013,4.2178,32.1215,12.0,3927.9946
Cyprus,2012,16.8766,7.1208,6.1102,-0.2958,1.0154,0.2592,8.6119,7.3897,0.0,,3.06,1936.1652,94.03,5.449,8.6,2508.91,3.1,1524.6,28.3115,34.8961,126.1252,2.0349,12.6515,2.0013,105.46,0.0379,0.0,32.7308,18.7,,54.308
Cyprus,2013,16.2407,6.4395,5.4392,-0.2988,0.9795,0.2489,7.8916,6.6658,0.0,,2.83,1646.3268,92.85,7.6259,9.7,2352.37,0.0,1333.07,29.5617,28.2668,128.1272,-1.5553,11.7781,2.0363,99.46,0.0224,0.0,26.5128,18.6972,1.9,13.5046
Cyprus,2014,16.1115,6.8161,5.6716,-0.3007,0.9821,0.2518,8.283,6.8922,0.0,,2.95,1659.5781,92.86,7.2975,9.5,2174.28,0.46,1154.23,29.4328,29.661,130.065,-0.7385,11.7944,1.8449,97.77,0.0175,0.0,27.8205,18.6944,1.7,33.302
Cyprus,2015,16.9122,6.855,5.6211,-0.2974,1.0024,0.2622,8.3657,6.8599,0.0,120.801,2.92,1677.4025,91.85,8.8116,10.4,2357.03,1.23,1395.73,28.5631,31.7113,131.9807,0.2479,13.71,1.868,103.15,0.0091,0.0,29.7436,18.6916,1.7,20.4345
Cyprus,2016,14.4813,7.2207,5.8367,-0.2042,1.0429,0.2703,8.7981,7.1118,0.0,120.817,2.92,1761.8744,91.91,8.6892,10.3,2570.65,0.77,1221.85,30.435,29.7977,133.8866,-0.9731,11.8387,2.1438,99.08,0.0002,0.0,27.9487,18.6807,1.7,568.9154
Cyprus,2017,15.1071,7.3619,5.8694,-0.3086,1.0734,0.2768,8.9972,7.1732,0.0,,2.85,1794.0173,91.17,8.6972,10.9,2490.29,0.9,1340.34,29.1885,29.5243,135.744,-1.3559,13.1407,1.8526,104.0,0.0032,0.0,27.6923,18.6786,1.7,437.2697
Cyprus,2018,15.2495,7.2127,5.676,-0.3042,1.4511,0.2856,9.2324,7.2654,0.0,,2.7,1773.6146,90.52,9.4354,12.0,2694.95,0.58,943.31,29.6853,28.2941,137.5256,0.4479,14.3341,1.7181,102.36,0.0031,0.0,26.5385,18.6764,3.3,32.4504
Cyprus,2019,15.0067,7.2155,5.6079,-0.2988,1.9744,0.2884,9.7502,7.5779,0.0,,2.57,1758.0546,90.0,10.0128,12.0,2592.57,0.48,1290.77,27.9051,27.6107,139.2501,1.3493,13.5637,1.7482,106.12,0.0024,0.0,25.8974,18.6742,3.4,43.4563
Cyprus,2020,13.5087,6.8014,5.2228,-0.3004,1.9484,0.2969,9.3305,7.1649,0.0,,2.54,1638.5719,87.61,12.3048,15.0,2520.03,0.77,1296.5,28.9685,31.5746,140.9358,-0.157,13.8147,1.8253,106.19,0.0057,0.0,29.6154,18.6721,11.2,33.1948
Czechia,2012,19.2883,114.0232,10.8482,-7.7459,15.4853,6.4413,138.5673,13.1833,53.2693,25.4296,5.09,4109.5446,76.0,10.0615,12.8,271.87,0.0,6649.05,13.3433,27.9866,136.0972,-0.8678,45.6544,2.2316,85.84,0.1838,0.0155,13.9954,34.4657,,14006.6854
Czechia,2013,18.9336,109.5259,10.4169,-7.1271,14.9127,6.7416,133.9385,12.7387,50.2928,27.7106,5.09,4110.9917,74.9,11.7516,13.9,254.49,0.0,6856.17,14.0626,25.0958,136.16,0.2334,45.597,2.3476,93.01,0.1094,0.0187,12.5498,34.4987,21.9,7658.9912
Czechia,2014,18.3617,107.2328,10.1881,-7.087,14.647,7.1119,131.9397,12.5354,50.5305,30.2869,4.83,3984.1541,73.89,11.867,14.8,194.17,0.0,5812.35,15.5623,25.0912,136.3034,-0.1962,45.5322,2.3927,101.46,0.0966,0.0206,12.5475,34.5272,21.8,13942.7428
Czechia,2015,17.8128,108.2847,10.2678,-7.0206,14.6424,7.3742,133.5004,12.6588,52.2541,32.1173,4.59,3982.1884,75.01,12.7512,14.8,432.52,0.0,6083.82,15.406,24.3309,136.5893,-1.9117,45.2532,2.2589,97.07,0.0818,0.0286,12.1673,34.5602,21.7,8047.2074
Czechia,2016,16.9929,109.8082,10.3923,-6.1314,14.5714,6.8508,134.643,12.7426,53.5848,32.8779,4.43,3927.7252,75.96,12.7075,14.8,211.42,0.0,6394.56,14.8116,24.8601,136.8519,-0.1921,45.1755,2.1481,101.47,0.0898,0.0422,12.4319,34.5791,22.1,22813.3622
Czechia,2017,16.9433,110.375,10.4182,-4.5257,14.614,6.8904,135.4909,12.7889,50.456,37.288,4.39,4089.5134,74.63,12.4026,14.5,261.77,0.0,6485.07,14.0932,24.7871,137.2159,-0.581,45.6029,2.1055,94.94,0.1239,0.0681,12.3954,34.6025,22.2,26518.1156
Czechia,2018,17.3467,109.3389,10.2859,0.9615,14.4186,6.573,133.9835,12.6044,49.4906,37.0867,4.26,4081.4187,73.77,11.9061,14.7,391.78,0.0,5898.96,16.1882,24.1788,137.6755,-2.1456,45.6288,1.9686,92.9,0.1767,0.1182,12.0913,34.626,22.2,39194.8738
Czechia,2019,14.2337,103.3032,9.68,7.7278,14.495,6.3984,127.8582,11.9809,45.3254,41.0173,4.07,4002.2461,72.23,12.9178,15.9,356.25,0.0,5914.11,15.3443,22.9015,138.2268,-1.5681,45.64,1.8915,92.92,0.2238,0.1841,11.4525,34.6514,22.2,73288.6802
Czechia,2020,14.1111,94.3916,8.8234,11.2144,14.1118,5.9035,117.9742,11.0278,40.0937,38.7838,4.06,3764.581,69.59,14.3377,17.0,193.88,0.0,6046.17,14.5617,20.7725,138.5759,-0.8997,45.6469,1.944,96.91,0.2462,0.2224,10.3878,34.678,22.2,100267.3712
Germany,2012,13.9079,800.4648,9.9528,-25.111,74.9247,36.0899,924.727,11.4979,45.5366,63.4092,3.27,3913.4392,79.68,23.7361,13.6,180.5,0.0,6144.44,13.1866,46.1172,230.7506,-0.4612,47.8109,0.9111,96.12,0.0789,0.0,31.4459,32.7452,,26007.2481
Germany,2013,13.6634,818.2784,10.1466,-23.8585,73.557,36.757,941.9149,11.6797,46.8153,64.6342,3.32,3986.1851,80.23,24.757,13.6,218.66,0.0,6417.75,14.1868,34.7122,231.1557,-0.2185,47.8589,0.9269,97.08,0.0598,0.0,23.6692,32.719,38.9,15498.9546
Germany,2014,12.2822,779.2231,9.6221,-16.6766,72.2534,37.475,902.5303,11.1448,45.3819,64.0352,3.11,3794.4472,79.39,26.8209,14.0,178.83,0.0,5328.41,15.1878,42.9113,232.1081,-0.8022,47.9364,0.9154,102.97,0.0398,0.0,29.2599,32.7228,38.5,21169.1432
Germany,2015,12.8254,785.3872,9.6146,-18.8719,71.4958,36.6673,907.5201,11.1098,43.7615,64.4354,3.08,3780.8503,79.59,30.0329,14.6,298.52,0.0,5687.9,14.8117,40.8901,234.153,-1.3409,47.9591,0.7088,99.27,0.0273,0.0,27.8817,32.7323,38.5,12929.494
Germany,2016,11.7807,789.7138,9.5899,-21.3949,70.1028,35.9831,910.0183,11.0508,42.0011,66.3065,3.02,3765.218,80.3,30.0193,14.2,222.83,0.0,5917.32,14.5624,33.5019,235.7129,-0.7121,47.6843,0.7303,97.76,0.0185,0.0,22.8439,32.6855,38.8,26876.854
Germany,2017,11.8978,774.9482,9.3755,-18.3803,69.8031,34.8406,893.8904,10.8145,38.6743,66.6212,2.95,3763.194,80.28,34.0095,15.2,197.22,0.0,5838.42,14.1873,38.0324,236.5887,0.358,47.7631,0.8605,97.5,0.0236,0.0,25.9331,32.6845,38.8,32999.1381
Germany,2018,11.6526,747.2145,9.0128,-15.4648,67.3229,33.8305,861.8892,10.396,37.3124,66.2019,2.85,3659.2292,79.5,35.6372,16.0,400.93,0.0,5428.24,16.6872,36.8985,237.294,-2.2459,47.6415,0.7431,91.87,0.0279,0.0,25.1599,32.6836,38.8,52238.958
Germany,2019,10.6378,697.0085,8.3883,-14.5288,65.2815,33.6445,808.7897,9.7336,29.9558,69.924,2.76,3570.8816,78.08,40.5775,17.1,324.37,0.0,5507.27,15.5623,35.3517,237.823,-1.4329,47.7003,0.8337,94.41,0.0477,0.0,24.1052,32.6827,38.5,108232.9097
Germany,2020,10.2877,642.552,7.7266,-3.5107,63.2696,32.5778,749.7997,9.0163,24.9711,65.3858,2.69,3349.1901,76.68,44.8396,18.5,239.1,0.0,5368.72,15.8124,35.3517,238.0173,-1.5461,47.4971,0.7289,95.45,0.0397,0.0,24.1052,32.6827,38.8,186938.8613
Denmark,2012,10.8115,38.5921,6.9018,1.2083,9.1058,4.5059,53.0265,9.4833,34.329,-3.473,2.5,3072.0872,70.91,48.3304,26.9,27.3,0.0,6535.71,10.6877,19.6998,139.7893,0.3584,65.6,1.6176,98.74,1.2652,0.0063,12.1417,15.0442,,4451.9524
Denmark,2013,10.3963,40.3391,7.1843,0.8455,9.7258,4.4393,55.248,9.8395,41.1375,13.3346,2.49,3075.5514,72.31,45.9609,27.0,45.14,0.0,6487.93,11.8437,27.285,140.3733,-0.9572,65.7,1.2566,97.3,0.9549,0.0089,16.8167,15.2351,17.6,2015.3666
Denmark,2014,10.8105,36.2043,6.4152,1.5566,9.6903,4.5174,51.1021,9.0551,34.3773,13.4596,2.31,2881.226,68.35,55.8777,30.2,123.46,0.0,5478.51,13.719,26.7496,141.0869,-0.1013,66.3158,1.3534,99.93,0.7977,0.0106,16.4867,15.426,20.5,5320.7705
Denmark,2015,10.2267,34.0736,5.9952,0.5248,9.9891,4.5908,49.1553,8.6488,24.5646,14.4179,2.25,2848.2401,64.78,65.4356,32.5,27.48,0.0,5936.09,12.0938,21.9524,142.0871,0.8855,65.8475,0.9083,101.24,0.4393,0.011,13.53,15.617,20.5,2583.2304
Denmark,2016,9.2343,35.7064,6.2336,1.6054,10.235,4.6308,51.1088,8.9226,29.0294,14.9721,2.23,2891.3521,64.89,60.2201,32.0,63.82,0.0,6032.02,12.3436,23.9858,143.2002,-0.8799,65.6275,0.9288,98.83,0.2875,0.0083,14.7832,15.6165,17.9,4656.3405
Denmark,2017,10.0946,33.5724,5.8235,1.5552,10.3066,4.6318,48.9236,8.4863,20.0019,12.4699,2.18,2896.9104,62.0,70.266,35.0,4.22,0.0,6017.76,11.4687,24.2239,144.1245,2.0049,65.7825,1.2599,102.11,0.3958,0.0072,14.93,15.64,20.7,4360.354
Denmark,2018,10.3539,33.6544,5.8089,3.4565,10.5065,4.5368,49.1608,8.4853,21.6339,25.1567,2.13,2871.3191,61.92,68.3574,34.6,164.33,0.0,5800.29,13.9692,29.9031,144.8409,-2.1774,65.8125,0.997,92.87,0.477,0.008,18.4303,15.664,17.9,3161.6253
Denmark,2019,9.612,30.2022,5.1944,2.6265,10.7253,4.6211,45.8438,7.8845,11.2176,43.7533,2.03,2758.1536,58.52,78.1718,37.2,83.41,0.0,5738.86,12.5936,25.5704,145.3606,0.4938,65.6491,1.2412,100.59,0.3518,0.0063,15.7599,15.6875,17.7,9180.3336
Denmark,2020,9.0698,27.7967,4.7667,2.7732,10.7414,4.7437,43.5573,7.4694,10.6551,48.3256,1.99,2637.5222,55.01,81.6168,39.5,90.86,0.0,5513.46,13.0938,26.4043,145.7851,-1.1133,65.4997,1.3375,102.64,0.1136,0.0053,16.2738,15.711,17.9,3193.5935
Spain,2012,12.0395,287.3971,6.1445,-41.9571,45.8134,19.5407,367.7986,7.8635,18.8168,79.8546,3.13,2677.1804,74.83,30.4411,15.8,1080.64,0.0,3815.99,23.6257,50.1022,93.5068,-1.527,53.8614,2.3978,85.87,0.02,0.0,33.0486,37.0798,,80495.7722
Spain,2013,11.2506,260.5978,5.5917,-40.6879,44.1666,20.053,339.5662,7.2862,14.4704,76.657,2.96,2506.2554,72.37,40.4695,16.9,923.89,0.0,3884.83,21.8739,44.1036,93.1693,0.194,53.444,2.6095,104.22,0.0168,0.0,29.0917,37.0821,11.1,63956.0449
Spain,2014,10.5799,258.0155,5.5534,-42.5111,45.0884,19.7079,337.5087,7.2644,16.2494,80.0508,2.86,2458.5718,71.32,40.9223,17.3,872.21,0.0,3254.15,23.1255,44.7975,92.8825,-0.3693,53.1337,2.527,94.5,0.0138,0.0,29.5495,37.0844,10.1,74226.4322
Spain,2015,11.2555,275.0786,5.9256,-45.1206,46.6016,20.206,350.2353,7.5445,18.7518,80.0359,2.85,2552.4013,73.07,35.7116,16.3,1102.6,0.0,3389.57,23.624,42.9584,92.9076,-2.0952,53.1891,2.7233,99.39,0.0084,0.0,28.3363,37.1275,14.1,65413.6941
Spain,2016,10.3388,266.5311,5.737,-45.2066,46.2449,20.5979,341.6246,7.3534,13.6306,78.8825,2.78,2563.007,71.99,39.3498,16.7,1090.75,0.0,3547.61,23.124,42.5644,92.9974,-0.6359,52.5772,2.8152,106.12,0.0071,0.0,28.0764,37.1429,15.0,107562.1844
Spain,2017,10.4367,281.6954,6.0487,-46.0485,46.2337,20.9361,355.273,7.6286,16.8098,80.8546,2.84,2690.4973,74.17,32.8921,15.2,1191.92,0.01,3337.31,24.3751,41.0279,93.2269,-2.5057,52.6387,2.8034,101.65,0.0137,0.0,27.0629,37.1522,14.9,98458.6889
Spain,2018,10.1846,275.1301,5.8811,-46.4342,47.3669,21.0893,348.2492,7.4441,14.1067,81.0075,2.77,2666.2608,73.17,38.7587,16.9,977.65,0.0,3682.01,22.1243,40.0941,93.6383,0.9037,52.4082,2.7013,117.73,0.0172,0.0,26.4469,37.1566,15.0,119648.8391
Spain,2019,9.3535,257.7259,5.4697,-45.6112,46.873,20.6087,329.7538,6.9984,5.1168,82.9141,2.64,2573.9044,72.1,37.7725,16.7,1027.39,0.0,3473.53,23.8759,39.8289,94.3181,-1.6438,52.4585,2.5198,106.52,0.0098,0.0,26.272,37.1677,17.9,71021.8648
Spain,2020,9.5811,218.7442,4.6188,-44.4099,47.3668,20.6398,290.3876,6.1316,2.3347,73.4774,2.67,2303.5131,68.7,44.5277,19.3,1018.6,0.0,3407.66,22.8744,43.254,94.8029,-0.7235,52.3317,2.7847,117.43,0.0085,0.0,26.0971,37.1773,17.9,101988.1764
Estonia,2012,7.9901,20.5236,15.5165,-3.894,2.8592,0.7828,24.2431,18.3286,86.1202,22.4673,5.74,3984.0634,87.31,12.3417,25.0,57.72,0.0,8605.65,6.2191,17.6515,31.203,2.038,22.5501,3.2843,89.2,0.8242,0.0,12.8324,55.9098,,17685.1527
Estonia,2013,8.0812,22.9144,17.3858,-3.038,2.757,0.8297,26.6017,20.1834,88.693,15.8496,6.27,4435.5669,88.93,9.1973,24.5,117.84,0.0,7774.46,8.781,18.9177,30.3197,-0.7051,22.1992,3.0474,92.45,0.7317,0.0,13.753,54.9118,19.4,17088.7434
Estonia,2014,8.7077,21.9208,16.6756,-0.598,2.9037,0.8493,25.7781,19.6099,87.3534,12.4657,5.79,4226.2012,87.58,11.1825,25.3,218.88,0.0,7734.58,9.1568,18.6147,30.2403,-0.4325,22.4063,3.115,97.32,0.7859,0.0,13.5327,55.3028,19.4,23576.6088
Estonia,2015,7.185,19.991,15.1976,-1.124,2.9126,0.9045,23.9179,18.1829,82.7651,12.0087,4.97,3695.1192,81.45,15.4272,28.2,39.6,0.0,7193.32,9.7801,17.4821,30.2601,-0.9746,22.8433,2.8064,111.23,0.4655,0.0,12.7092,55.6938,19.4,25420.2907
Estonia,2016,6.8784,19.9798,15.1846,-0.4926,2.8419,0.8398,23.7812,18.0737,83.7209,8.5862,5.98,4579.4211,85.52,13.047,27.2,70.36,0.0,7883.36,8.6565,18.9545,30.2689,0.6924,23.0734,2.0716,91.45,0.3148,0.0,13.7797,55.6993,19.5,36334.8572
Estonia,2017,6.1549,21.2227,16.1097,-0.0736,2.9696,0.8718,25.1771,19.1114,83.8526,4.8111,5.49,4444.8467,84.87,14.1225,27.5,14.41,0.0,7869.96,8.5938,19.3171,30.816,1.727,22.9708,2.3389,99.56,0.5195,0.0,14.0433,57.0386,19.5,38856.6937
Estonia,2018,7.7967,22.3588,16.9132,1.9092,3.157,0.8772,26.4942,20.0413,81.988,1.4388,5.21,4359.953,81.91,16.0854,28.6,243.6,0.0,7617.02,9.9688,17.4084,30.9234,-1.7811,23.0409,2.0494,84.71,0.7988,0.0,12.6557,57.0386,19.5,40037.8772
Estonia,2019,6.8448,14.7078,11.0843,0.8033,3.0259,0.9434,18.7811,14.1541,70.151,5.1177,4.22,3661.4993,71.04,28.1355,31.3,103.04,0.0,7275.11,9.8443,10.8923,31.0385,0.2045,23.1205,2.2656,106.79,0.7336,0.0,7.9186,57.0386,19.7,45917.2458
Estonia,2020,6.1457,11.4808,8.6353,2.1616,1.9278,0.9619,14.5111,10.9145,49.1115,11.4424,3.92,3366.7462,62.75,48.8761,40.4,85.51,0.0,6717.25,10.0621,9.2311,31.0999,-0.1461,23.0409,1.9318,107.74,0.3748,0.0,6.7109,57.0386,20.1,36805.569
Finland,2012,6.2312,52.3201,9.6639,-29.8797,8.2208,5.5291,67.0904,12.3921,16.0074,47.4911,5.71,6265.7723,47.7,40.5621,38.7,14.61,0.0,10723.33,1.3122,9.4968,17.8156,2.1152,7.5195,2.1884,94.73,0.1695,0.0,3.7428,73.4108,,160310.4093
Finland,2013,5.8529,53.3272,9.8046,-23.0582,8.0861,5.5365,67.9657,12.4961,20.1678,50.0954,5.67,6138.3141,46.96,35.968,38.5,56.36,0.0,9637.64,4.3134,8.4861,17.8978,-0.5947,7.432,2.2118,99.5,0.1097,0.0,3.3445,73.5207,13.9,148660.9706
Finland,2014,6.1186,49.4374,9.052,-23.4978,7.9552,5.5683,63.9548,11.7101,17.3554,50.3063,5.81,6246.0415,46.23,38.5804,41.2,143.39,0.0,9613.09,4.4374,7.4755,17.972,-0.4294,7.4603,2.2176,101.04,0.089,0.0,2.9462,73.6306,14.2,186629.0141
Finland,2015,5.625,45.971,8.3896,-19.3864,7.838,5.4767,60.2223,10.9904,12.8092,48.5887,5.5,5921.5968,43.46,44.5012,43.2,6.19,0.0,9298.22,4.4383,6.4648,18.0301,1.2093,7.4805,2.0605,99.53,0.0503,0.0,2.5479,73.7356,14.2,172639.5803
Finland,2016,5.2781,48.8035,8.8809,-16.0538,7.7792,5.5402,63.0082,11.4658,15.2843,46.7409,5.54,6120.633,44.22,44.2315,42.4,22.77,0.0,9827.94,3.9376,5.4541,18.082,1.1139,7.4858,2.0898,99.43,0.0276,0.0,2.1495,73.7356,14.3,240428.4632
Finland,2017,5.1267,46.073,8.3644,-13.6732,7.614,5.4411,59.9537,10.8844,13.6457,45.3412,5.34,6070.1575,42.22,46.614,44.4,1.71,0.0,10127.52,2.1876,5.4541,18.1239,1.2527,7.4691,2.068,98.01,0.0795,0.0,2.1495,73.7332,14.1,336198.5406
Finland,2018,5.497,47.4348,8.6002,-4.4517,7.5392,5.565,61.3156,11.1169,14.3304,46.8807,5.37,6165.444,42.34,45.741,44.2,168.92,0.0,9799.61,3.9383,6.6398,18.148,-1.5896,7.4757,2.1142,92.96,0.0884,0.0,2.6168,73.7332,14.2,269954.6259
Finland,2019,5.3787,44.1406,7.9942,-9.3669,7.3975,5.5546,57.8329,10.4739,11.6038,44.5318,5.19,6024.6407,39.79,46.4434,45.4,59.43,0.0,10029.18,3.0628,7.1141,18.1674,1.0067,7.482,2.1898,102.16,0.0424,0.0,2.8037,73.7308,13.1,289910.434
Finland,2020,4.8952,39.4649,7.1371,-11.763,7.2574,5.2454,52.6471,9.5211,7.4783,43.9863,5.07,5739.073,39.27,51.8681,47.3,47.6,0.0,9001.12,4.8137,7.1141,18.1929,0.742,7.4686,2.2404,98.51,0.0242,0.0,2.8037,73.7284,13.0,254472.6003
France,2012,12.5586,366.1388,5.5765,-50.0566,77.6926,34.9389,495.4001,7.5452,4.2127,49.9667,3.83,3925.354,49.6,15.744,12.3,323.99,0.0,4928.8,16.3736,24.5671,119.9102,-0.168,52.6791,1.5259,97.79,0.0118,0.0,14.0315,30.2905,,67302.6687
France,2013,12.4583,360.9924,5.4698,-48.0854,77.3953,35.1636,490.0673,7.4255,4.5238,49.7682,3.82,3922.0301,49.18,17.959,13.4,343.07,0.0,5213.27,16.625,23.774,120.5316,0.5481,52.5492,1.3614,96.25,0.0093,0.0,13.5785,30.4429,23.5,30351.842
France,2014,10.6877,328.0879,4.9476,-43.3932,76.3861,35.2591,456.1684,6.8791,2.4157,47.9037,3.63,3752.4492,47.07,17.4358,13.2,254.23,0.0,4253.59,17.6249,23.8965,121.1053,0.0537,52.5361,1.4615,102.48,0.007,0.0,13.6485,30.5952,23.4,44359.1132
France,2015,11.3443,332.9749,5.0035,-39.2926,75.2961,35.6343,460.3796,6.918,2.5121,47.6222,3.65,3795.9499,47.41,16.7046,13.3,431.63,0.0,4537.35,17.8757,24.6135,121.5367,-1.6831,52.4638,1.5036,102.22,0.0039,0.0,14.058,30.7475,23.2,37292.5856
France,2016,10.5082,335.7678,5.0322,-32.369,75.2505,34.6997,461.9592,6.9234,2.1711,49.1842,3.54,3715.2335,48.52,18.4107,14.2,367.29,0.0,4833.43,17.3743,23.1428,121.8578,-0.7236,52.4475,1.338,95.29,0.003,0.0,13.218,30.8998,25.9,60768.5202
France,2017,10.4583,339.3458,5.0711,-21.1647,75.0135,35.1261,465.0188,6.9491,2.7045,50.7137,3.46,3700.9696,49.16,17.3981,14.1,439.05,0.0,4726.2,17.6254,23.5892,122.212,-1.3891,52.4101,1.435,101.33,0.004,0.0,13.473,31.0521,27.8,69249.0433
France,2018,10.4599,328.6302,4.8934,-22.2271,75.0889,34.2125,451.87,6.7284,1.8123,48.7972,3.37,3665.5357,47.31,20.4545,15.2,508.3,0.0,4383.58,18.8742,23.569,122.6509,-0.8703,52.3418,1.5311,97.17,0.0068,0.0,13.4615,31.2044,33.2,69201.6634
France,2019,9.8252,322.7523,4.7899,-18.5981,72.6202,34.129,441.6307,6.5541,1.0288,49.6128,3.26,3601.7657,47.74,20.6518,15.5,495.78,0.0,4549.42,18.3746,22.9468,123.0594,-1.0763,52.0838,1.4083,98.0,0.0054,0.0,13.106,31.3567,35.0,81304.4477
France,2020,9.6004,287.3243,4.2503,-24.4411,69.8218,30.3475,398.3513,5.8927,0.9287,45.7513,3.18,3224.4677,46.85,24.3856,16.8,456.99,0.0,4213.67,18.6246,21.5981,123.4595,-1.0459,52.0934,1.4604,93.7,0.0256,0.023,12.3358,31.509,36.2,77745.7371
United Kingdom,2012,11.4845,481.19,7.5527,-5.6557,52.3061,22.1968,568.7107,8.9264,39.5783,46.0056,2.98,3028.7722,85.46,12.1419,4.2,14.14,0.01,6156.21,11.0626,13.6692,263.3448,1.8232,71.0205,0.6284,90.81,0.7504,0.0,5.529,12.8029,,35664.4756
United Kingdom,2013,11.3936,470.1718,7.3305,-5.7118,50.1375,22.4075,556.2196,8.6721,36.7619,50.6083,2.88,2962.2976,84.28,15.669,5.2,36.81,0.0,6132.65,11.8128,13.0452,265.1139,-0.4544,71.3024,0.6333,92.79,0.6168,0.0,5.2766,12.8822,11.3,28589.5597
