Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day)
Estonia,2016,100.0,100.0,96.8779,90.4017,1.6,77.6415,19.186,14.3648,97.2923,77.216,6.882,4.69,3.0,55.02,2.5,31.2,7.8,0.6,2.4,21.0,1.3
Estonia,2017,100.0,100.0,96.91,90.4191,1.59,78.0927,19.4674,14.4937,97.2501,78.324,5.807,4.61,2.8,55.4,2.5,30.4,8.1,0.5,1.8,21.9,1.1
Estonia,2018,100.0,100.0,96.9428,90.4408,1.67,78.2439,19.6755,15.8006,97.4559,78.665,5.412,4.53,2.7,55.78,2.5,30.3,8.1,0.4,1.3,21.7,1.1
Estonia,2019,100.0,100.0,96.976,90.4125,1.66,78.6463,19.8965,15.525,98.1577,78.338,4.514,4.53,2.5,56.15,2.5,30.8,8.1,0.7,1.7,20.7,1.2
Estonia,2020,100.0,100.0,96.9984,90.4197,1.58,78.5951,20.2001,14.2844,98.3467,78.626,6.956,4.46,2.4,56.51,2.5,30.7,8.1,0.4,1.6,20.6,1.0
Finland,2012,100.0,100.0,98.5752,88.4066,1.8,80.6268,18.45,11.5581,99.7071,74.965,7.689,5.29,2.8,54.24,2.5,27.1,9.4,0.1,0.2,11.8,0.6
Finland,2013,100.0,100.0,98.9722,88.5669,1.75,80.9756,19.0734,11.2071,99.6918,75.028,8.193,4.86,2.6,54.31,2.5,27.2,9.3,0.1,0.2,12.8,0.6
Finland,2014,100.0,100.0,99.3693,88.7273,1.71,81.1805,19.6661,11.0744,99.6617,75.133,8.663,4.53,2.6,54.38,2.5,26.8,9.4,0.1,0.2,12.4,0.6
Finland,2015,100.0,100.0,99.6306,88.8877,1.65,81.4805,20.2091,10.9722,99.5672,75.543,9.376,4.28,2.5,54.48,2.5,27.1,9.4,0.1,0.2,11.6,0.6
Finland,2016,100.0,100.0,99.6319,89.0481,1.57,81.4293,20.6838,10.8761,99.508,75.667,8.818,3.97,2.4,54.59,2.5,27.1,9.4,0.0,0.2,11.5,0.6
Finland,2017,100.0,100.0,99.6331,89.2084,1.49,81.6317,21.1457,10.5401,99.4682,76.48,8.64,3.75,2.4,54.71,2.5,27.4,9.4,0.1,0.2,12.0,0.6
Finland,2018,100.0,100.0,99.6345,89.3688,1.41,81.7341,21.6155,10.3995,99.7032,77.74,7.361,3.61,2.4,54.82,2.5,27.3,9.3,0.1,0.2,11.6,0.6
Finland,2019,100.0,100.0,99.6362,89.5292,1.35,81.9829,22.0614,10.5228,99.5557,77.947,6.695,3.35,2.3,54.93,2.5,27.7,9.2,0.0,0.2,12.2,0.6
Finland,2020,100.0,100.0,99.6379,89.6896,1.37,81.9317,22.4907,10.239,99.8176,78.079,7.759,2.83,2.3,55.04,2.5,27.1,9.5,0.0,0.1,10.8,0.6
France,2012,100.0,100.0,98.4615,88.9214,2.01,81.9683,17.4831,9.6122,102.5232,70.739,9.841,6.58,4.1,39.24,2.5,33.1,7.9,0.1,0.3,,0.6
France,2013,100.0,100.0,98.5896,88.9978,1.99,82.2195,17.9296,9.5985,102.2764,71.239,9.913,6.52,4.1,38.75,2.5,32.5,8.0,0.1,0.2,,0.6
France,2014,100.0,100.0,98.7184,89.0737,2.0,82.7195,18.3879,9.5942,101.2803,70.999,10.273,6.46,4.1,38.26,2.5,32.3,8.0,0.0,0.2,,0.6
France,2015,100.0,100.0,98.8482,89.1492,1.96,82.322,18.8516,9.5904,101.9896,71.223,10.354,6.4,4.2,37.76,2.5,32.7,7.9,0.1,0.4,,0.6
France,2016,100.0,100.0,98.9788,89.2242,1.92,82.5732,19.2847,9.5416,102.2604,71.285,10.057,6.32,4.2,37.26,2.5,31.9,8.0,0.1,0.3,,0.6
France,2017,100.0,100.0,99.1102,89.2988,1.89,82.5756,19.6708,9.5469,102.4172,71.435,9.409,6.23,4.2,36.76,2.5,31.6,8.1,0.0,0.1,,0.6
France,2018,100.0,100.0,99.2426,89.373,1.87,82.6756,20.0394,9.5655,102.4644,71.871,9.018,6.16,4.2,36.26,2.5,32.4,8.0,0.0,0.1,,0.6
France,2019,100.0,100.0,99.3757,89.4468,1.86,82.8268,20.4101,9.482,102.4476,71.665,8.415,6.1,4.2,35.76,2.5,31.2,7.8,0.1,0.4,,0.6
France,2020,100.0,100.0,99.5098,89.5201,1.83,82.1756,20.7474,8.8227,102.6516,71.091,8.009,6.0,4.2,35.26,2.5,30.7,8.0,0.1,0.4,,0.6
United Kingdom,2012,100.0,100.0,99.9254,97.9727,1.92,80.9049,16.9733,12.2499,105.8047,75.69,8.25,2.8,4.8,60.58,2.5,33.1,7.7,0.5,0.7,,0.9
United Kingdom,2013,100.0,100.0,99.9133,97.993,1.83,81.0049,17.3279,12.095,105.3462,75.858,7.704,2.75,4.6,60.64,2.5,32.7,7.9,0.2,0.5,,0.7
United Kingdom,2014,100.0,100.0,99.9012,98.0071,1.81,81.3049,17.5841,12.3321,99.9745,76.219,6.363,2.72,4.5,60.71,2.5,33.1,7.7,0.2,0.7,,0.8
United Kingdom,2015,100.0,100.0,99.889,98.0212,1.8,80.9561,17.77,12.2592,100.158,76.473,5.517,2.61,4.5,60.79,2.5,33.3,7.6,0.2,0.7,,0.8
United Kingdom,2016,100.0,100.0,99.8769,98.0351,1.79,81.1561,17.9162,12.211,100.3199,76.776,4.867,2.57,4.4,60.88,2.5,33.1,7.6,0.2,0.7,17.0,0.9
United Kingdom,2017,100.0,100.0,99.8648,98.049,1.74,81.2561,18.0734,12.2464,100.6952,77.114,4.452,2.54,4.4,60.98,2.5,32.6,7.6,0.2,0.7,18.6,0.9
United Kingdom,2018,100.0,100.0,99.8527,98.0627,1.68,81.2561,18.2558,12.0806,101.2197,77.499,4.12,2.5,4.4,61.07,2.5,33.7,7.4,0.5,0.7,,0.9
United Kingdom,2019,100.0,100.0,99.8405,98.0764,1.632,81.3691,18.458,11.9921,101.7883,77.473,3.613,2.45,4.4,61.16,2.5,32.8,7.5,0.5,0.7,,0.9
United Kingdom,2020,100.0,100.0,99.8284,98.0899,1.571,80.3318,18.6058,10.4408,102.096,77.656,4.472,2.43,4.4,61.25,2.5,32.6,7.7,0.5,1.0,,0.9
Georgia,2012,71.0,100.0,66.6372,32.4435,1.929,72.672,13.662,9.8202,109.7478,73.309,19.653,2.98,12.1,58.46,7.9,39.0,5.9,18.8,72.1,30.0,6.6
Georgia,2013,74.2,100.0,66.8816,31.5611,1.993,73.025,13.8539,12.0112,110.5582,72.941,19.416,3.06,11.4,59.26,7.5,38.6,6.1,14.9,66.6,26.2,5.9
Georgia,2014,76.8,100.0,67.1254,30.6474,2.18,73.105,14.0293,12.5075,109.7086,73.575,17.439,3.09,10.9,60.05,6.7,37.6,6.4,12.0,64.8,23.5,5.5
Georgia,2015,79.2,100.0,67.3684,29.7299,2.214,73.241,14.1419,14.1099,107.677,74.847,16.506,3.39,10.5,60.83,6.6,36.5,6.7,10.6,63.1,21.6,5.2
Georgia,2016,81.9,100.0,67.6146,28.8059,2.228,73.136,14.2607,15.0103,104.1872,74.16,16.604,3.66,10.2,61.59,6.7,36.6,6.7,10.5,64.0,22.0,5.2
Georgia,2017,84.2,100.0,67.8628,27.8764,2.136,73.435,14.3744,15.1146,103.2456,72.053,13.939,4.0,10.0,62.32,6.6,37.9,6.3,11.1,61.5,21.9,5.3
Georgia,2018,86.0,99.9,68.1138,26.9407,2.093,73.985,14.5183,14.272,101.2319,69.837,12.667,4.24,9.8,63.03,5.5,36.4,6.5,11.0,62.0,20.1,5.3
Georgia,2019,87.8,100.0,68.3672,25.9989,2.021,74.165,14.7045,14.1419,101.8534,68.553,11.565,4.64,9.7,63.72,5.4,35.9,6.8,9.7,62.5,19.5,5.1
Georgia,2020,89.6,100.0,68.6234,25.1174,1.976,73.509,14.8875,12.0671,101.7624,68.843,11.73,4.94,9.6,64.41,5.2,34.5,7.0,12.0,66.4,21.3,5.5
Greece,2012,100.0,100.0,99.2964,85.5141,1.34,80.6341,19.8891,8.0877,99.5018,66.846,24.731,4.48,4.0,59.44,2.5,36.3,5.8,2.1,9.0,23.1,2.0
Greece,2013,100.0,100.0,99.2652,86.2054,1.29,81.2854,20.2915,7.1693,98.7325,66.842,27.686,4.26,4.1,59.64,2.5,36.1,5.9,1.5,10.3,22.1,1.9
Greece,2014,100.0,100.0,99.2335,86.8945,1.3,81.3854,20.6971,8.5331,97.9593,66.725,26.708,4.25,4.2,59.84,2.5,35.8,5.9,2.0,9.5,21.4,2.3
Greece,2015,100.0,100.0,99.1844,87.6394,1.33,81.0366,21.0795,7.6833,99.8291,66.982,24.981,4.25,4.3,60.04,2.5,36.0,5.8,2.0,9.2,21.2,2.2
Greece,2016,100.0,100.0,99.1336,88.3852,1.38,81.3878,21.3989,8.0551,99.3707,67.179,23.514,4.21,4.3,60.24,2.5,35.0,6.3,1.4,8.0,20.2,2.0
Greece,2017,100.0,100.0,99.0828,89.1283,1.35,81.2878,21.6563,8.0327,98.8267,67.181,21.413,4.23,4.3,60.44,2.5,34.4,6.6,1.1,6.9,18.5,1.8
Greece,2018,100.0,100.0,99.032,89.869,1.35,81.7878,21.8966,8.4567,97.8011,67.027,19.179,4.24,4.2,60.63,2.5,32.9,7.2,0.2,5.1,17.9,1.5
Greece,2019,100.0,100.0,98.9812,90.6072,1.34,81.639,22.1274,8.3554,97.6438,67.176,17.045,4.24,4.1,60.82,2.5,33.1,7.0,1.0,4.8,17.7,1.7
Greece,2020,100.0,100.0,98.9304,91.343,1.39,81.2878,22.3934,7.5392,97.2832,66.197,15.899,,4.0,61.02,2.5,33.6,6.7,1.1,5.1,19.6,1.7
Croatia,2012,100.0,100.0,,77.6334,1.52,77.1683,18.2005,10.8154,98.7156,63.894,15.935,5.8,5.2,58.11,2.5,32.5,6.9,1.1,10.3,19.5,2.1
Croatia,2013,100.0,100.0,,77.5328,1.46,77.5707,18.4766,10.5199,98.5738,63.707,17.251,5.79,5.1,58.72,2.5,32.0,7.1,1.2,9.4,19.4,2.1
Croatia,2014,100.0,100.0,,77.4367,1.46,77.7244,18.8122,10.6503,98.9083,66.124,17.29,5.84,5.0,59.32,2.5,32.1,7.1,1.2,7.9,20.0,2.1
Croatia,2015,100.0,100.0,,77.5099,1.41,77.2756,19.2311,10.464,99.4908,66.999,16.175,5.5,4.9,59.93,2.5,31.1,7.3,0.7,7.5,19.5,1.9
Croatia,2016,100.0,100.0,,77.587,1.43,77.922,19.6581,10.5424,98.7909,65.642,13.103,5.43,4.9,60.55,2.5,30.9,7.3,0.9,6.0,20.0,1.7
Croatia,2017,100.0,100.0,,77.6679,1.42,77.7268,20.1354,10.7397,99.2321,66.497,11.208,5.46,4.8,61.16,2.5,30.4,7.4,0.6,5.6,19.3,1.7
Croatia,2018,100.0,100.0,,77.7348,1.47,77.9195,20.6683,10.4801,98.8812,66.402,8.432,5.52,4.8,61.77,2.5,29.7,7.9,0.5,3.5,18.3,1.5
Croatia,2019,100.0,100.0,,77.8053,1.47,78.2244,21.1822,10.9762,99.0015,66.662,6.617,5.58,4.7,62.38,2.5,28.9,8.0,0.4,3.1,18.3,1.3
Croatia,2020,100.0,100.0,,77.8797,1.48,77.5244,21.6662,10.353,99.4887,67.236,7.507,5.6,4.7,62.99,2.5,29.5,7.9,0.4,2.7,19.2,1.3
Hungary,2012,100.0,100.0,87.0782,77.9181,1.34,75.0634,16.992,9.5221,101.07,65.547,11.003,7.0,5.7,57.49,2.5,30.8,7.6,0.5,11.6,15.0,2.1
Hungary,2013,100.0,100.0,88.5991,79.5504,1.35,75.5659,17.3215,9.4148,100.7059,66.606,10.177,7.04,5.6,57.93,2.5,31.5,7.6,0.5,10.6,15.0,1.9
Hungary,2014,100.0,100.0,90.114,81.2201,1.44,75.7634,17.6863,10.3912,101.3144,68.705,7.725,6.98,5.3,58.38,2.5,30.9,7.6,1.0,8.3,14.9,2.2
Hungary,2015,100.0,100.0,91.6231,82.9268,1.45,75.5683,18.056,10.3242,100.8277,70.461,6.813,6.99,5.1,58.85,2.5,30.4,7.8,1.0,6.4,14.5,2.0
Hungary,2016,100.0,100.0,93.1267,84.6758,1.53,76.0634,18.4383,10.6055,99.0286,72.071,5.115,7.0,4.7,59.32,2.5,30.3,8.0,1.6,4.3,13.4,2.2
Hungary,2017,100.0,100.0,94.6244,86.9046,1.54,75.8171,18.7797,10.8395,98.4313,73.058,4.156,7.02,4.5,59.8,2.5,30.6,7.9,0.9,4.9,12.8,1.9
Hungary,2018,100.0,100.0,96.1434,87.7222,1.55,76.0659,19.1292,10.8592,96.7522,74.011,3.708,6.95,4.3,60.28,2.5,29.6,8.2,0.4,4.2,12.3,1.6
Hungary,2019,100.0,100.0,97.6296,87.7511,1.55,76.3195,19.6029,10.1927,96.6209,74.648,3.419,6.91,4.1,60.76,2.5,30.0,8.0,0.5,3.6,12.3,1.4
Hungary,2020,100.0,100.0,99.1095,87.7805,1.59,75.4195,20.0907,9.3339,97.1749,75.021,4.25,6.76,4.0,61.24,2.5,29.7,8.1,0.6,3.2,12.6,1.5
Ireland,2012,100.0,100.0,95.0212,72.738,1.98,80.8463,12.0822,11.9319,102.1183,71.128,15.451,2.56,4.0,62.85,2.5,33.2,7.5,0.5,1.6,,1.1
Ireland,2013,100.0,100.0,95.1106,74.3613,1.93,80.9488,12.4475,11.8801,101.9583,71.795,13.735,2.58,3.9,63.03,2.5,33.5,7.3,0.7,1.9,,1.4
Ireland,2014,100.0,100.0,95.1996,76.0019,1.89,81.3488,12.7952,12.1198,101.5422,71.84,11.858,2.59,3.8,63.21,2.5,31.9,7.9,0.4,1.3,,1.1
Ireland,2015,100.0,100.0,95.2881,77.6596,1.85,81.4537,13.1103,11.9181,101.1846,72.061,9.908,2.94,3.7,63.4,2.5,31.8,8.0,0.4,0.9,,1.1
Ireland,2016,100.0,100.0,95.3761,79.0095,1.81,81.6537,13.3921,12.2743,101.3415,72.663,8.374,2.98,3.6,63.61,2.5,32.8,7.9,0.3,0.9,,0.9
Ireland,2017,100.0,100.0,95.4635,79.1117,1.77,82.1561,13.672,12.6127,100.8528,72.633,6.713,2.99,3.5,63.81,2.5,31.4,8.4,0.3,0.6,,0.9
Ireland,2018,100.0,100.0,95.5501,79.2171,1.75,82.2049,13.9536,12.4753,101.0329,72.939,5.741,2.99,3.4,64.0,2.5,30.6,8.7,0.1,0.1,,0.7
Ireland,2019,100.0,100.0,95.7019,79.4034,1.71,82.7024,14.2438,13.2124,100.9809,73.251,4.95,2.9,3.4,64.19,2.5,30.3,8.8,0.1,0.2,13.8,0.7
Ireland,2020,100.0,100.0,95.8535,79.5927,1.63,82.4561,14.5621,11.8776,101.3688,71.883,5.623,2.91,3.5,64.37,2.5,29.2,9.0,0.2,0.2,12.9,0.7
Iceland,2012,100.0,100.0,96.578,,2.04,82.9171,12.7719,14.5596,98.833,84.684,6.0,3.24,2.6,55.17,2.5,26.8,9.3,0.0,0.4,9.3,0.7
Iceland,2013,100.0,100.0,97.1132,,1.93,82.061,13.0702,15.5001,98.7876,85.647,5.376,3.22,2.6,55.36,2.5,25.4,9.9,0.1,0.2,7.9,0.7
Iceland,2014,100.0,100.0,97.6484,,1.93,82.861,13.3619,15.1298,98.7708,87.168,4.897,3.16,2.6,55.55,2.5,27.8,9.4,0.0,0.2,9.2,0.6
Iceland,2015,100.0,100.0,98.1836,,1.8,82.4683,13.6793,15.6151,98.6862,88.207,3.979,3.12,2.6,55.76,2.5,26.8,9.5,0.0,0.2,8.8,0.6
Iceland,2016,100.0,100.0,98.7188,,1.74,82.2049,13.9214,14.3981,98.9532,89.202,2.978,3.13,2.6,56.02,2.5,27.2,9.4,0.0,0.2,10.1,0.5
Iceland,2017,100.0,100.0,99.254,,1.71,82.661,14.0229,15.81,98.8624,88.528,2.742,3.06,2.6,56.3,2.5,26.1,9.7,0.0,0.1,8.8,0.5
Iceland,2018,100.0,100.0,99.7892,,1.71,82.861,14.121,15.99,98.8867,87.356,2.704,2.87,2.7,56.58,2.5,26.6,9.2,0.3,0.6,,0.7
Iceland,2019,100.0,100.0,100.0,,1.74,83.1634,14.2993,16.1359,98.8134,87.095,3.507,2.8,2.7,56.81,2.5,,,,,,
Iceland,2020,100.0,100.0,100.0,,1.72,83.0634,14.5644,15.8759,98.5561,84.88,5.478,2.83,2.7,56.99,2.5,,,,,,
Italy,2012,100.0,100.0,94.9728,78.9736,1.42,82.239,20.9966,8.0184,100.029,63.464,10.655,3.38,3.8,49.34,2.5,35.2,6.3,1.4,3.2,19.3,1.6
Italy,2013,100.0,100.0,94.7406,78.9811,1.39,82.6902,21.3307,8.021,101.1119,63.316,12.149,3.31,3.7,49.31,2.5,34.9,6.2,1.6,3.4,19.4,1.9
Italy,2014,100.0,100.0,94.5082,78.9886,1.38,83.0902,21.6979,7.9424,100.7523,63.892,12.683,3.24,3.6,49.28,2.5,34.7,6.2,1.4,3.3,19.9,1.7
Italy,2015,100.0,100.0,94.2514,78.9961,1.36,82.5439,22.0285,7.9438,100.3719,63.976,11.896,3.22,3.5,49.25,2.5,35.4,5.9,2.1,4.0,20.6,2.1
Italy,2016,100.0,100.0,93.9946,79.0036,1.36,83.2439,22.3096,7.8624,99.8128,64.881,11.688,3.2,3.4,49.23,2.5,35.2,6.1,1.8,3.5,20.3,2.0
Italy,2017,100.0,100.0,93.7378,79.0111,1.34,82.9463,22.5587,7.9177,102.8031,65.381,11.211,3.21,3.3,49.22,2.5,35.9,6.0,1.5,3.5,20.3,1.9
Italy,2018,100.0,100.0,93.481,79.015,1.31,83.3463,22.8062,8.1116,102.895,65.581,10.61,3.17,3.2,49.21,2.5,35.2,6.1,1.7,3.3,20.1,1.8
Italy,2019,100.0,100.0,93.2242,79.019,1.27,83.4976,23.1042,8.0474,102.9594,65.69,9.951,3.16,3.1,49.18,2.5,34.6,6.3,1.0,2.9,20.0,1.5
Italy,2020,100.0,100.0,92.9674,79.023,1.24,82.1951,23.3792,7.4939,102.6367,64.086,9.164,3.18,3.0,49.16,2.5,35.2,6.3,0.9,2.4,20.1,1.4
Kazakhstan,2012,92.4,100.0,81.2478,,2.64,69.939,6.3792,19.2529,102.1776,78.174,5.29,6.61,16.3,48.75,2.5,28.2,9.4,0.1,23.6,,2.6
Kazakhstan,2013,92.8,100.0,82.9075,,2.67,70.719,6.4635,17.9606,101.4032,78.624,5.2,6.2,14.6,49.2,2.5,27.1,9.8,0.1,18.0,,2.5
Kazakhstan,2014,93.0,100.0,84.4887,,2.76,71.415,6.597,17.3248,100.797,79.034,5.06,5.98,13.0,49.65,2.5,27.0,9.9,0.1,19.3,,2.5
Kazakhstan,2015,93.2,100.0,86.0815,,2.755,72.024,6.7615,16.8195,100.5012,79.34,4.93,5.75,11.9,50.1,2.5,26.8,10.0,0.1,22.2,,2.6
Kazakhstan,2016,93.4,100.0,87.6854,,2.795,72.549,6.9397,19.6017,100.1747,79.588,4.96,5.54,11.0,50.55,2.5,27.2,9.8,0.2,29.1,,2.9
Kazakhstan,2017,93.4,100.0,89.3004,,2.745,72.996,7.1237,14.3419,100.8843,79.864,4.9,5.43,10.5,50.98,2.5,27.5,9.8,0.1,23.6,,2.7
Kazakhstan,2018,93.4,100.0,89.3098,,2.845,73.369,7.3018,17.9045,100.5298,80.104,4.85,5.31,10.3,51.41,2.5,27.8,9.8,0.1,18.8,4.3,2.5
Kazakhstan,2019,93.4,100.0,89.3213,,2.89,73.658,7.4804,18.9602,101.622,80.331,4.8,5.13,10.2,51.83,2.5,28.0,9.8,0.1,19.3,4.3,2.5
Kazakhstan,2020,93.5,100.0,89.3346,,3.13,71.195,7.6488,20.1649,101.7837,79.325,4.89,6.72,10.1,52.26,2.5,28.7,9.8,0.0,18.6,5.3,2.5
Lithuania,2012,100.0,100.0,86.3826,86.6059,1.6,73.8634,18.18,14.9881,101.8544,71.826,13.365,7.26,5.3,55.89,2.5,35.1,6.5,1.1,8.7,20.6,2.3
Lithuania,2013,100.0,100.0,88.3536,87.7085,1.59,73.9146,18.3577,14.7461,101.7546,72.427,11.77,7.14,5.1,56.15,2.5,35.3,6.7,1.2,7.0,19.1,2.0
Lithuania,2014,100.0,100.0,90.338,88.8309,1.57,74.5171,18.6035,14.501,100.9779,73.735,10.698,7.11,5.1,56.41,2.5,37.7,6.0,1.7,7.8,22.2,2.2
Lithuania,2015,100.0,100.0,92.3356,89.9567,1.63,74.322,18.8803,14.4306,101.5423,74.144,9.12,6.83,5.0,56.68,2.5,37.4,6.1,1.0,6.8,21.9,1.9
Lithuania,2016,100.0,100.0,93.9929,91.0876,1.63,74.6707,19.1758,13.9628,104.2231,75.466,7.862,6.54,4.9,56.97,2.5,38.4,6.0,1.5,5.6,22.9,2.0
Lithuania,2017,100.0,100.0,94.4423,92.2234,1.57,75.4805,19.5044,13.6783,106.4109,75.968,7.073,6.39,4.6,57.25,2.5,37.3,6.3,1.2,5.0,22.9,2.0
Lithuania,2018,100.0,100.0,94.8733,93.2343,1.53,75.6805,19.7309,13.3184,106.0574,77.339,6.147,6.27,4.2,57.54,2.5,35.7,6.6,1.0,3.4,20.6,1.5
Lithuania,2019,100.0,100.0,94.8975,93.7553,1.43,76.2829,19.8572,13.276,104.7061,78.022,6.255,6.22,3.9,57.83,2.5,35.3,7.0,0.6,2.3,20.9,1.3
Lithuania,2020,100.0,100.0,94.9238,94.2752,1.36,75.0293,19.9342,12.1706,103.4682,78.533,8.487,5.96,3.7,58.11,2.5,36.0,7.2,0.5,1.8,20.0,1.0
Luxembourg,2012,100.0,100.0,99.7765,92.5152,1.57,81.3927,13.9654,12.1643,98.7364,69.289,5.03,5.16,2.7,51.75,2.5,34.3,7.3,0.0,0.3,,0.5
Luxembourg,2013,100.0,100.0,99.7238,92.8437,1.55,81.8,14.0257,11.3799,97.7293,69.627,6.045,5.17,2.6,51.73,2.5,32.0,7.6,0.1,0.3,,0.5
Luxembourg,2014,100.0,100.0,99.6743,93.1723,1.5,82.2293,14.1251,11.3736,97.3061,70.224,6.044,5.06,2.6,51.7,2.5,31.2,7.9,0.2,0.3,,0.6
Luxembourg,2015,100.0,100.0,99.6279,93.5006,1.47,82.2927,14.1954,11.231,97.4023,71.309,6.796,4.96,2.6,51.67,2.5,32.9,7.5,0.3,0.8,,0.7
Luxembourg,2016,100.0,100.0,99.5843,93.8288,1.41,82.6854,14.2424,11.1685,97.4096,70.625,6.669,4.81,2.5,51.66,2.5,31.7,7.6,0.1,0.6,,0.5
Luxembourg,2017,100.0,100.0,99.5432,94.1568,1.39,82.0951,14.3068,11.0433,96.7352,70.107,5.523,4.66,2.5,51.64,2.5,34.5,6.8,0.3,1.1,,0.7
Luxembourg,2018,100.0,100.0,99.5046,94.4854,1.38,82.2951,14.3776,11.1043,97.3428,71.006,5.589,4.51,2.5,51.62,2.5,35.4,6.6,0.3,0.8,,0.6
Luxembourg,2019,100.0,100.0,99.5125,94.8139,1.34,82.639,14.4701,11.1826,98.3345,71.916,5.592,4.26,2.5,51.59,2.5,34.2,7.2,0.1,0.3,,0.5
Luxembourg,2020,100.0,100.0,99.5201,95.1421,1.36,82.1439,14.5852,10.657,98.6442,72.112,6.766,4.19,2.5,51.56,2.5,33.4,7.1,0.0,0.0,,0.4
Latvia,2012,100.0,100.0,94.277,75.004,1.44,73.778,18.6755,14.7431,101.0487,74.487,15.047,5.83,6.6,54.51,2.5,35.2,6.5,1.4,12.5,19.4,2.3
Latvia,2013,100.0,100.0,94.5575,76.1485,1.52,73.9829,18.9297,14.9403,100.3863,74.037,11.867,5.75,6.0,55.0,2.5,35.5,6.5,1.5,10.0,21.2,2.3
Latvia,2014,100.0,100.0,94.8381,77.3009,1.65,74.1244,19.2415,15.1853,99.8528,74.484,10.846,5.61,5.5,55.48,2.5,35.1,6.6,1.1,8.4,22.5,1.9
Latvia,2015,100.0,100.0,95.119,78.6224,1.7,74.4805,19.5243,15.2137,99.3933,75.692,9.873,5.65,5.1,55.97,2.5,34.2,7.1,1.0,5.7,21.8,1.8
Latvia,2016,100.0,100.0,95.4013,79.9576,1.74,74.5805,19.7754,14.798,99.1985,76.241,9.643,5.68,4.7,56.46,2.5,34.3,7.0,1.0,5.5,22.1,1.6
Latvia,2017,100.0,100.0,95.6848,81.3065,1.69,74.6293,20.0108,14.9333,99.3678,77.028,8.715,5.53,4.5,56.95,2.5,35.6,6.7,1.0,5.4,23.3,1.6
Latvia,2018,100.0,100.0,95.9693,82.4506,1.6,74.7829,20.1982,14.8106,99.6144,77.489,7.412,5.47,4.2,57.43,2.5,35.1,7.0,0.6,3.6,22.9,1.4
Latvia,2019,100.0,100.0,96.2544,83.6061,1.61,75.3878,20.4072,15.0183,99.9834,77.551,6.312,5.42,4.0,57.91,2.5,34.5,7.1,0.3,3.3,21.6,1.3
Latvia,2020,100.0,100.0,96.54,84.6766,1.55,75.1854,20.6722,13.7033,99.8328,78.187,8.098,5.3,3.7,58.39,2.5,35.7,6.9,0.5,2.9,23.4,1.3
Moldova,2012,94.1,99.5,67.3357,,1.661,70.344,10.4854,20.8435,,65.988,2.151,6.32,16.3,56.87,5.7,29.2,9.0,0.5,27.3,,2.8
Moldova,2013,94.9,99.6,69.876,,1.622,70.291,10.6158,18.2398,,66.441,1.873,6.08,16.0,57.29,4.5,28.5,9.2,0.1,22.5,,2.6
Moldova,2014,95.65,99.8,72.4486,,1.82,70.241,11.0823,17.5889,107.4289,70.966,1.425,6.03,15.8,57.72,3.9,26.8,9.7,0.0,21.4,,2.6
Moldova,2015,96.1,99.9,72.7737,,1.87,70.118,11.7092,18.1822,105.722,72.21,1.742,5.74,15.5,58.16,3.4,27.0,9.7,0.1,19.0,,2.5
Moldova,2016,96.6,99.9,73.1059,,1.89,70.179,12.2991,17.6604,104.4644,71.926,1.557,5.83,15.3,58.6,2.7,26.3,10.0,0.2,19.1,,2.6
Moldova,2017,96.8,100.0,73.4444,,1.81,70.375,12.8296,17.7566,103.6819,70.446,1.586,5.78,15.2,59.05,2.5,25.9,10.0,0.1,18.8,,2.5
Moldova,2018,97.0,100.0,73.7892,,1.81,70.236,13.3074,17.5512,103.3374,68.737,1.196,5.77,15.1,59.49,2.5,25.7,10.2,0.0,15.5,,2.4
